hjd,camera,filter,mag,mag err,flux (mJy),flux err
2457725.59001,be,V,12.679,0.02,32.536,0.599
2457229.93426,bf,V,12.594,0.02,35.382,0.651
2457039.74406,bf,V,12.602,0.02,35.137,0.647
2457038.61685,be,V,12.643,0.02,33.625,0.619
2457037.62244,bf,V,12.618,0.02,34.595,0.637
2456942.76449,bf,V,12.565,0.02,36.33,0.668
2458004.8199,be,V,12.605,0.02,34.822,0.641
2457790.71371,be,V,12.609,0.02,34.695,0.638
2457256.83715,be,V,12.578,0.02,35.711,0.657
2457079.56098,be,V,12.558,0.02,36.371,0.669
2457291.83042,be,V,12.563,0.02,36.199,0.666
2457011.64489,be,V,12.587,0.02,35.399,0.651
2457985.85494,be,V,12.628,0.02,34.094,0.627
2457799.6901,be,V,12.55,0.02,36.652,0.674
2457674.87807,be,V,12.566,0.02,36.099,0.664
2457340.77794,be,V,12.592,0.02,35.262,0.649
2457146.46587,be,V,12.551,0.02,36.591,0.673
2457139.5122,bf,V,12.596,0.02,35.318,0.65
2457013.72069,be,V,12.605,0.02,34.839,0.641
2457007.63577,be,V,12.589,0.02,35.331,0.65
2458152.61089,be,V,12.581,0.02,35.599,0.655
2458074.72023,be,V,12.675,0.02,32.643,0.601
2457423.66112,be,V,12.6,0.02,34.997,0.644
2457251.84882,be,V,12.575,0.02,35.797,0.659
2457074.5857,bf,V,12.564,0.02,36.384,0.669
2457673.74654,be,V,12.59,0.02,35.318,0.65
2457221.94466,be,V,12.694,0.02,32.091,0.59
2458162.57111,be,V,12.655,0.02,33.25,0.612
2457771.62019,be,V,12.624,0.02,34.227,0.63
2457683.82544,be,V,12.637,0.02,33.801,0.622
2457396.73903,be,V,12.604,0.02,34.856,0.641
2457136.49849,be,V,12.616,0.02,34.465,0.634
2457082.57613,bf,V,12.666,0.02,33.1,0.609
2457078.58059,bf,V,12.594,0.02,35.39,0.651
2456993.66481,be,V,12.562,0.02,36.222,0.666
2456979.69722,bf,V,12.625,0.02,34.38,0.633
2458354.85265,be,V,12.636,0.02,33.856,0.623
2458013.78,be,V,12.656,0.02,33.231,0.611
2457266.84461,bf,V,12.608,0.02,34.935,0.643
2457111.55851,be,V,12.584,0.02,35.502,0.653
2456959.82337,bf,V,12.58,0.02,35.875,0.66
2458048.68439,be,V,12.613,0.02,34.56,0.636
2457699.65539,be,V,12.627,0.02,34.12,0.628
2457585.93681,be,V,12.571,0.02,35.929,0.661
2457360.67017,be,V,12.566,0.02,36.103,0.664
2457288.7811,be,V,12.655,0.02,33.255,0.612
2457145.4921,bf,V,12.65,0.02,33.597,0.618
2457137.51455,bf,V,12.59,0.02,35.552,0.654
2457047.6302,bf,V,12.582,0.02,35.753,0.658
2457010.63549,be,V,12.6,0.02,34.98,0.644
2456974.74616,bf,V,12.594,0.02,35.391,0.651
2457437.54451,be,V,12.683,0.02,32.411,0.596
2457249.85102,be,V,12.599,0.02,35.014,0.644
2457131.51132,bf,V,12.54,0.02,37.195,0.684
2457044.62391,be,V,12.675,0.02,32.644,0.601
2457042.63508,be,V,12.681,0.02,32.462,0.597
2458138.6679,be,V,12.597,0.02,35.099,0.646
2458082.86119,be,V,12.491,0.02,38.683,0.712
2457115.54701,be,V,12.582,0.02,35.571,0.655
2457072.64942,bf,V,12.552,0.02,36.771,0.677
2457013.67503,bf,V,12.59,0.02,35.526,0.654
2456995.57529,bf,V,12.562,0.02,36.434,0.67
2456975.6793,be,V,12.647,0.02,33.516,0.617
2456957.74896,be,V,12.609,0.02,34.697,0.638
2458319.92497,be,V,12.534,0.02,37.176,0.684
2458311.94969,be,V,12.592,0.02,35.248,0.649
2457496.52283,be,V,12.628,0.02,34.084,0.627
2457138.51804,bf,V,12.572,0.02,36.1,0.664
2457070.58754,be,V,12.566,0.02,36.091,0.664
2457003.66673,bf,V,12.53,0.02,37.517,0.69
2456992.68039,bf,V,12.616,0.02,34.652,0.638
2456943.78524,bf,V,12.634,0.02,34.116,0.628
2458376.79152,be,V,12.559,0.02,36.333,0.669
2458359.83486,be,V,12.606,0.02,34.801,0.64
2458339.89284,be,V,12.666,0.02,32.909,0.606
2458090.70358,be,V,12.571,0.02,35.942,0.661
2458052.67189,be,V,12.588,0.02,35.374,0.651
2457759.57067,be,V,12.565,0.02,36.14,0.665
2457426.59092,be,V,12.587,0.02,35.397,0.651
2457223.94051,bf,V,12.703,0.02,32.007,0.589
2457136.52269,bf,V,12.615,0.02,34.689,0.638
2457034.71624,be,V,12.617,0.02,34.459,0.634
2456999.65335,bf,V,12.581,0.02,35.803,0.659
2458000.85356,be,V,12.606,0.02,34.81,0.64
2457782.68859,be,V,12.627,0.02,34.117,0.628
2457439.67407,be,V,12.597,0.02,35.095,0.646
2457405.59625,be,V,12.599,0.02,35.021,0.644
2457113.58152,bf,V,12.561,0.02,36.463,0.671
2457072.57054,be,V,12.537,0.02,37.07,0.682
2458081.58296,be,V,12.594,0.02,35.195,0.648
2457740.78502,be,V,12.719,0.02,31.347,0.577
2457374.73491,be,V,12.647,0.02,33.493,0.616
2457315.72075,be,V,12.616,0.02,34.479,0.634
2457295.81841,be,V,12.594,0.02,35.178,0.647
2457287.76437,be,V,12.594,0.02,35.166,0.647
2457032.66351,bf,V,12.568,0.02,36.224,0.667
2457031.64402,bf,V,12.551,0.02,36.812,0.677
2456978.69215,be,V,12.559,0.02,36.318,0.668
2456951.75916,be,V,12.597,0.02,35.07,0.645
